"idplayer","name","age","position","college","draftteam","draftposition","draftyear","born","experience"
385,"Xavier Tillman Sr.",0,"noData","noData","noData",0,0,NULL,0
386,"John Konchar",0,"noData","noData","noData",0,0,NULL,0
387,"Justise Winslow",0,"noData","noData","noData",0,0,NULL,0
388,"Tim Frazier",0,"noData","noData","noData",0,0,NULL,0
389,"Brandon Clarke",0,"noData","noData","noData",0,0,NULL,0
390,"Killian Tillie",0,"noData","noData","noData",0,0,NULL,0
391,"Royce ONeale",0,"noData","noData","noData",0,0,NULL,0
392,"Mike Conley",0,"noData","noData","noData",0,0,NULL,0
393,"Bojan Bogdanović",0,"noData","noData","noData",0,0,NULL,0
394,"Joe Ingles",0,"noData","noData","noData",0,0,NULL,0
395,"Rudy Gobert",0,"noData","noData","noData",0,0,NULL,0
396,"Jordan Clarkson",0,"noData","noData","noData",0,0,NULL,0
397,"Derrick Favors",0,"noData","noData","noData",0,0,NULL,0
398,"Georges Niang",0,"noData","noData","noData",0,0,NULL,0
399,"Miye Oni",0,"noData","noData","noData",0,0,NULL,0
400,"Juwan Morgan",0,"noData","noData","noData",0,0,NULL,0
401,"Ersan İlyasova",0,"noData","noData","noData",0,0,NULL,0
402,"Matt Thomas",0,"noData","noData","noData",0,0,NULL,0
403,"Jarrell Brantley",0,"noData","noData","noData",0,0,NULL,0
404,"Trent Forrest",0,"noData","noData","noData",0,0,NULL,0
405,"Donovan Mitchell",0,"noData","noData","noData",0,0,NULL,0
406,"Chris Chiozza",0,"noData","noData","noData",0,0,NULL,0
407,"Daniel Oturu",0,"noData","noData","noData",0,0,NULL,0
408,"Justin Jackson",0,"noData","noData","noData",0,0,NULL,0
409,"Devontae Cacok",0,"noData","noData","noData",0,0,NULL,0
410,"Tacko Fall",0,"noData","noData","noData",0,0,NULL,0
411,"Rayjon Tucker",0,"noData","noData","noData",0,0,NULL,0
412,"Elijah Hughes",0,"noData","noData","noData",0,0,NULL,0
413,"Will Barton",0,"noData","noData","noData",0,0,NULL,0
414,"Jay Scrubb",0,"noData","noData","noData",0,0,NULL,0
415,"Cam Reddish",0,"noData","noData","noData",0,0,NULL,0
416,"Abdel Nader",0,"noData","noData","noData",0,0,NULL,0
417,"Danuel House Jr.",0,"noData","noData","noData",0,0,NULL,0
418,"Hassan Whiteside",0,"noData","noData","noData",0,0,NULL,0
419,"Juancho Hernangómez",0,"noData","noData","noData",0,0,NULL,0
420,"Rudy Gay",0,"noData","noData","noData",0,0,NULL,0
421,"Eric Paschall",0,"noData","noData","noData",0,0,NULL,0
422,"Jared Butler",0,"noData","noData","noData",0,0,NULL,0
423,"Spencer Dinwiddie",0,"noData","noData","noData",0,0,NULL,0
424,"Sterling Brown",0,"noData","noData","noData",0,0,NULL,0
425,"Marquese Chriss",0,"noData","noData","noData",0,0,NULL,0
426,"Karl-Anthony Towns",0,"noData","noData","noData",0,0,NULL,0
427,"Anthony Edwards",0,"noData","noData","noData",0,0,NULL,0
428,"DAngelo Russell",0,"noData","noData","noData",0,0,NULL,0
429,"Jarred Vanderbilt",0,"noData","noData","noData",0,0,NULL,0
430,"Malik Beasley",0,"noData","noData","noData",0,0,NULL,0
431,"Jaden McDaniels",0,"noData","noData","noData",0,0,NULL,0
432,"Taurean Prince",0,"noData","noData","noData",0,0,NULL,0
433,"Jordan McLaughlin",0,"noData","noData","noData",0,0,NULL,0
434,"Naz Reid",0,"noData","noData","noData",0,0,NULL,0
435,"Josh Okogie",0,"noData","noData","noData",0,0,NULL,0
436,"Jaylen Nowell",0,"noData","noData","noData",0,0,NULL,0
437,"Leandro Bolmaro",0,"noData","noData","noData",0,0,NULL,0
438,"Greg Monroe",0,"noData","noData","noData",0,0,NULL,0
439,"Jake Layman",0,"noData","noData","noData",0,0,NULL,0
440,"Ziaire Williams",0,"noData","noData","noData",0,0,NULL,0
441,"Jarrett Culver",0,"noData","noData","noData",0,0,NULL,0
442,"Pascal Siakam",0,"noData","noData","noData",0,0,NULL,0
443,"Fred VanVleet",0,"noData","noData","noData",0,0,NULL,0
444,"Scottie Barnes",0,"noData","noData","noData",0,0,NULL,0
445,"Gary Trent Jr.",0,"noData","noData","noData",0,0,NULL,0
446,"Chris Boucher",0,"noData","noData","noData",0,0,NULL,0
447,"Khem Birch",0,"noData","noData","noData",0,0,NULL,0
448,"Thaddeus Young",0,"noData","noData","noData",0,0,NULL,0
449,"Yuta Watanabe",0,"noData","noData","noData",0,0,NULL,0
450,"Dalano Banton",0,"noData","noData","noData",0,0,NULL,0
451,"Armoni Brooks",0,"noData","noData","noData",0,0,NULL,0
452,"Malachi Flynn",0,"noData","noData","noData",0,0,NULL,0
453,"Svi Mykhailiuk",0,"noData","noData","noData",0,0,NULL,0
454,"Myles Powell",0,"noData","noData","noData",0,0,NULL,0
455,"Charlie Brown Jr.",0,"noData","noData","noData",0,0,NULL,0
456,"Charles Bassey",0,"noData","noData","noData",0,0,NULL,0
457,"Bones Hyland",0,"noData","noData","noData",0,0,NULL,0
458,"Jordan Poole",0,"noData","noData","noData",0,0,NULL,0
459,"Andrew Wiggins",0,"noData","noData","noData",0,0,NULL,0
460,"Klay Thompson",0,"noData","noData","noData",0,0,NULL,0
461,"Draymond Green",0,"noData","noData","noData",0,0,NULL,0
462,"Kevon Looney",0,"noData","noData","noData",0,0,NULL,0
463,"Otto Porter Jr.",0,"noData","noData","noData",0,0,NULL,0
464,"Stephen Curry",0,"noData","noData","noData",0,0,NULL,0
465,"Gary Payton II",0,"noData","noData","noData",0,0,NULL,0
466,"Juan Toscano-Anderson",0,"noData","noData","noData",0,0,NULL,0
467,"Damion Lee",0,"noData","noData","noData",0,0,NULL,0
468,"Jonathan Kuminga",0,"noData","noData","noData",0,0,NULL,0
469,"Moses Moody",0,"noData","noData","noData",0,0,NULL,0
470,"Delon Wright",0,"noData","noData","noData",0,0,NULL,0
471,"Gorgui Dieng",0,"noData","noData","noData",0,0,NULL,0
472,"Jalen Johnson",0,"noData","noData","noData",0,0,NULL,0
473,"Kyle Lowry",0,"noData","noData","noData",0,0,NULL,0
474,"Omer Yurtseven",0,"noData","noData","noData",0,0,NULL,0
475,"Caleb Martin",0,"noData","noData","noData",0,0,NULL,0
476,"Haywood Highsmith",0,"noData","noData","noData",0,0,NULL,0
477,"Victor Oladipo",0,"noData","noData","noData",0,0,NULL,0
478,"Patty Mills",0,"noData","noData","noData",0,0,NULL,0
479,"Kessler Edwards",0,"noData","noData","noData",0,0,NULL,0
480,"DayRon Sharpe",0,"noData","noData","noData",0,0,NULL,0
481,"Cam Thomas",0,"noData","noData","noData",0,0,NULL,0
482,"Al Horford",0,"noData","noData","noData",0,0,NULL,0
483,"Jaylen Brown",0,"noData","noData","noData",0,0,NULL,0
484,"Daniel Theis",0,"noData","noData","noData",0,0,NULL,0
485,"Derrick White",0,"noData","noData","noData",0,0,NULL,0
486,"Nik Stauskas",0,"noData","noData","noData",0,0,NULL,0
487,"Malik Fitts",0,"noData","noData","noData",0,0,NULL,0
488,"Sam Hauser",0,"noData","noData","noData",0,0,NULL,0
489,"DeMar DeRozan",0,"noData","noData","noData",0,0,NULL,0
490,"Nikola Vučević",0,"noData","noData","noData",0,0,NULL,0
491,"Zach LaVine",0,"noData","noData","noData",0,0,NULL,0
492,"Patrick Williams",0,"noData","noData","noData",0,0,NULL,0
493,"Coby White",0,"noData","noData","noData",0,0,NULL,0
494,"Javonte Green",0,"noData","noData","noData",0,0,NULL,0
495,"Ayo Dosunmu",0,"noData","noData","noData",0,0,NULL,0
496,"Tony Bradley",0,"noData","noData","noData",0,0,NULL,0
497,"Marko Simonovic",0,"noData","noData","noData",0,0,NULL,0
498,"Troy Brown Jr.",0,"noData","noData","noData",0,0,NULL,0
499,"Luca Vildoza",0,"noData","noData","noData",0,0,NULL,0
500,"Brandon Ingram",0,"noData","noData","noData",0,0,NULL,0
501,"Herbert Jones",0,"noData","noData","noData",0,0,NULL,0
502,"Jaxson Hayes",0,"noData","noData","noData",0,0,NULL,0
503,"Trey Murphy III",0,"noData","noData","noData",0,0,NULL,0
504,"Larry Nance Jr.",0,"noData","noData","noData",0,0,NULL,0
505,"Naji Marshall",0,"noData","noData","noData",0,0,NULL,0
506,"Devonte Graham",0,"noData","noData","noData",0,0,NULL,0
507,"Garrett Temple",0,"noData","noData","noData",0,0,NULL,0
508,"Willy Hernangómez",0,"noData","noData","noData",0,0,NULL,0
509,"Bismack Biyombo",0,"noData","noData","noData",0,0,NULL,0
510,"Ish Wainright",0,"noData","noData","noData",0,0,NULL,0
511,"Aaron Holiday",0,"noData","noData","noData",0,0,NULL,0
512,"Jaden Springer",0,"noData","noData","noData",0,0,NULL,0
