"idplayer","name","age","position","college","draftteam","draftposition","draftyear","born","experience"
107,"Richard Anderson",62,"Power Forward and Center","UC Santa Barbara","San Diego Clippers",9,1982,"1960-11-19",6
108,"Ron Anderson",64,"Small Forward","Fresno State","Cleveland Cavaliers",3,1984,"1958-10-15",10
109,"Ryan Anderson",34,"Power Forward and Center","California","New Jersey Nets",21,2008,"1988-05-06",12
110,"Shandon Anderson",48,"Shooting Guard and Small Forward","Georgia","Utah Jazz",25,1996,"1973-12-31",10
111,"Willie Anderson",55,"Shooting Guard and Small Forward","Georgia","San Antonio Spurs",10,1988,"1967-01-08",9
112,"Wally Anderzunas",43,"Small Forward","Creighton","Detroit Pistons",6,1969,"1946-01-11",1
113,"Martynas Andriuškevičius",36,"Center","none","Orlando Magic",14,2005,"1986-03-12",1
114,"Don Anielak",65,"Forward","Missouri State","New York Knicks",8,1954,"1930-11-01",1
115,"Ike Anigbogu",24,"Center","UCLA","Indiana Pacers",17,2017,"1998-10-17",0
116,"Michael Ansley",55,"Small Forward","Alabama","Orlando Magic",10,1989,"1967-02-08",3
117,"Chris Anstey",47,"Center","none","Portland Trail Blazers",18,1997,"1975-01-01",3
118,"Giannis Antetokounmpo",28,"Power Forward, Small Forward, Point Guard, and Shooting Guard","none","Milwaukee Bucks",15,2013,"1994-12-06",0
119,"Kostas Antetokounmpo",25,"Power Forward","Dayton","Philadelphia 76ers",30,2018,"1997-11-20",0
120,"Thanasis Antetokounmpo",30,"Small Forward","none","New York Knicks",21,2014,"1992-07-18",0
121,"Carmelo Anthony",38,"Small Forward and Power Forward","Syracuse","Denver Nuggets",3,2003,"1984-05-29",0
122,"Cole Anthony",22,"Point Guard","UNC","Orlando Magic",15,2020,"2000-05-15",0
123,"Greg Anthony",55,"Point Guard","University of Portland, UNLV","New York Knicks",12,1991,"1967-11-15",11
124,"Joel Anthony",40,"Center and Power Forward","UNLV","none",NULL,0,"1982-08-09",10
125,"Pero Antić",40,"Center","none","none",NULL,0,"1982-07-29",2
126,"OG Anunoby",25,"Small Forward","Indiana","Toronto Raptors",23,2017,"1997-07-17",0
127,"Keith Appling",30,"Point Guard","Michigan State","none",NULL,0,"1992-02-13",1
128,"Rafael Araújo",42,"Center","BYU","Toronto Raptors",8,2004,"1980-08-12",3
129,"Stacey Arceneaux",79,"Forward","Iowa State","none",NULL,0,"1936-02-17",1
130,"Robert Archibald",39,"Power Forward and Center","Illinois","Memphis Grizzlies",3,2002,"1980-03-29",2
131,"Tiny Archibald",74,"Point Guard","Texas-El Paso","Cincinnati Royals",2,1970,"1948-09-02",13
132,"Ryan Arcidiacono",28,"Point Guard","Villanova","none",NULL,0,"1994-03-26",0
133,"Jim Ard",74,"Center","Cincinnati","Seattle SuperSonics",6,1970,"1948-09-19",8
