"years","league","champion","mvp","roty","pointsleader","reboundsleader","assistsleader","winsharesleader"
"2005-06","NBA",16,"S. Nash","C. Paul","K. Bryant (2832)","D. Howard (1022)","S. Nash (826)","D. Nowitzki (17.7)"
"2004-05","NBA",27,"S. Nash","E. Okafor","A. Iverson (2302)","K. Garnett (1108)","S. Nash (861)","K. Garnett (16.1)"
"2003-04","NBA",9,"K. Garnett","L. James","K. Garnett (1987)","K. Garnett (1139)","S. Marbury (719)","K. Garnett (18.3)"
"2002-03","NBA",27,"T. Duncan","A. Stoudemire","K. Bryant (2461)","B. Wallace (1126)","J. Kidd (711)","T. Duncan (16.5)"
"2001-02","NBA",14,"T. Duncan","P. Gasol","P. Pierce (2144)","T. Duncan (1042)","A. Miller (882)","T. Duncan (17.8)"
"2000-01","NBA",14,"A. Iverson","M. Miller","J. Stackhouse (2380)","B. Wallace (1052)","J. Kidd (753)","S. O'Neal (14.9)"
"1999-00","NBA",14,"S. O'Neal","E. Brand, S. Francis","S. O'Neal (2344)","D. Mutombo (1157)","G. Payton (732)","S. O'Neal (18.6)"
"1998-99","NBA",27,"K. Malone","V. Carter","S. O'Neal (1289)","D. Mutombo (610)","J. Kidd (539)","K. Malone (9.6)"
"1997-98","NBA",5,"M. Jordan","T. Duncan","M. Jordan (2357)","D. Rodman (1201)","R. Strickland (801)","K. Malone (16.4)"
"1996-97","NBA",5,"K. Malone","A. Iverson","M. Jordan (2431)","D. Mutombo (929)","M. Jackson (935)","M. Jordan (18.3)"
"1995-96","NBA",5,"M. Jordan","D. Stoudamire","M. Jordan (2491)","D. Robinson (1000)","J. Stockton (916)","M. Jordan (20.4)"
"1994-95","NBA",11,"D. Robinson","G. Hill, J. Kidd","S. O'Neal (2315)","D. Mutombo (1029)","J. Stockton (1011)","D. Robinson (17.5)"
"1993-94","NBA",11,"H. Olajuwon","C. Webber","D. Robinson (2383)","D. Rodman (1367)","J. Stockton (1031)","D. Robinson (20.0)"
"1992-93","NBA",5,"C. Barkley","S. O'Neal","M. Jordan (2541)","D. Rodman (1132)","J. Stockton (987)","M. Jordan (17.2)"
"1991-92","NBA",5,"M. Jordan","L. Johnson","M. Jordan (2404)","D. Rodman (1530)","J. Stockton (1126)","M. Jordan (17.7)"
"1990-91","NBA",5,"M. Jordan","D. Coleman","M. Jordan (2580)","D. Robinson (1063)","J. Stockton (1164)","M. Jordan (20.3)"
"1989-90","NBA",9,"M. Johnson","D. Robinson","M. Jordan (2753)","H. Olajuwon (1149)","J. Stockton (1134)","M. Jordan (19.0)"
"1988-89","NBA",9,"M. Johnson","M. Richmond","M. Jordan (2633)","H. Olajuwon (1105)","J. Stockton (1118)","M. Jordan (19.8)"
"1987-88","NBA",14,"M. Jordan","M. Jackson","M. Jordan (2868)","C. Oakley (1066)","J. Stockton (1128)","M. Jordan (21.2)"
"1986-87","NBA",14,"M. Johnson","C. Person","M. Jordan (3041)","C. Oakley (1074)","M. Johnson (977)","M. Jordan (16.9)"
"1985-86","NBA",2,"L. Bird","P. Ewing","A. English (2414)","B. Laimbeer (1075)","M. Johnson (907)","L. Bird (15.8)"
"1984-85","NBA",14,"L. Bird","M. Jordan","M. Jordan (2313)","M. Malone (1031)","I. Thomas (1123)","L. Bird (15.7)"
"1983-84","NBA",2,"L. Bird","R. Sampson","A. Dantley (2418)","B. Laimbeer (1003)","N. Nixon (914)","A. Dantley (14.6)"
"1982-83","NBA",23,"M. Malone","T. Cummings","A. English (2326)","M. Malone (1194)","M. Johnson (829)","M. Malone (15.1)"
"1981-82","NBA",14,"M. Malone","B. Williams","G. Gervin (2551)","M. Malone (1188)","J. Moore (762)","M. Malone (15.4)"
"1980-81","NBA",2,"J. Erving","D. Griffith","A. Dantley (2452)","M. Malone (1180)","K. Porter (734)","K. Abdul-Jabbar (14.3)"
"1979-80","NBA",14,"K. Abdul-Jabbar","L. Bird","G. Gervin (2585)","S. Nater (1216)","M. Richardson (832)","K. Abdul-Jabbar (14.8)"
"1978-79","NBA",0,"M. Malone","P. Ford","G. Gervin (2365)","M. Malone (1444)","K. Porter (1099)","K. Abdul-Jabbar (14.4)"
