"idteam","name","location","games","wins","loses","playoff","confchampions","nbachampions","conference"
85,"Capital Bullets",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
86,"Baltimore Bullets",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
87,"Cincinnati Royals",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
88,"San Francisco Warriors",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
89,"San Diego Rockets",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
90,"St. Louis Hawks",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
91,"Syracuse Nationals",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
92,"Chicago Zephyrs",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
93,"Philadelphia Warriors",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94,"Chicago Packers",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
95,"Minneapolis Lakers",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
96,"Fort Wayne Pistons",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
97,"Rochester Royals",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
98,"Milwaukee Hawks",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
99,"Baltimore Bullets (1)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100,"Indianapolis Olympians",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
101,"Tri-Cities Blackhawks",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
102,"Washington Capitols",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
103,"Chicago Stags",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
104,"Anderson Packers",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
105,"St. Louis Bombers",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
106,"Sheboygan Red Skins",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
107,"Waterloo Hawks",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
