"idplayer","idseason","idteam","age","league","position","games","gamesstarter","minutesplayed","fieldgoals","fgattempts","fgperc","3PTSFG","3PFGAttempts","3PFGPerc","2PtsFG","2PFGAttempts","2PFGPerc","effectivegoalperc","freethrows","freethrowsattempts","ftperc","offrbds","defrbds","totalrbds","assists","steals","blocks","turnovers","fouls","points","tripledouble"
104,4,15,26,"NBA","SF",67,28,1330,157,331,0.474,24,85,0.282,133,246,0.541,0.511,52,78,0.667,58,227,285,162,54,37,66,111,390,0
104,5,15,25,"NBA","SF",43,40,1281,150,276,0.543,9,34,0.265,141,242,0.583,0.56,37,64,0.578,48,203,251,128,54,37,58,112,346,1
104,6,27,24,"NBA","SF",74,67,1978,231,438,0.527,19,57,0.333,212,381,0.556,0.549,104,146,0.712,84,312,396,202,115,60,94,114,585,0
104,7,27,23,"NBA","SF",72,14,1020,93,209,0.445,15,40,0.375,78,169,0.462,0.481,45,57,0.789,33,175,208,91,51,26,39,63,246,0
104,8,27,22,"NBA","SF",78,11,1245,138,295,0.468,12,37,0.324,126,258,0.488,0.488,62,83,0.747,25,219,244,123,60,29,59,97,350,0
104,9,27,21,"NBA","SF",33,8,358,31,89,0.348,3,11,0.273,28,78,0.359,0.365,9,14,0.643,5,67,72,28,15,7,10,28,74,0
105,35,27,22,"NBA","PG",36,12,730,73,175,0.417,1,7,0.143,72,168,0.429,0.42,57,82,0.695,44,45,89,153,44,3,84,64,204,NULL
106,22,15,34,"NBA","SG",15,0,219,21,76,0.276,13,48,0.271,8,28,0.286,0.362,5,9,0.556,1,32,33,14,6,6,14,17,60,0
106,23,26,33,"NBA","SG",21,0,169,14,57,0.246,10,39,0.256,4,18,0.222,0.333,0,0,NULL,3,22,25,13,10,4,7,13,38,0
106,24,26,32,"NBA","SG",72,72,2094,306,782,0.391,132,397,0.332,174,385,0.452,0.476,37,76,0.487,83,256,339,123,94,16,95,118,781,0
106,25,22,31,"NBA","SF",47,39,1581,253,640,0.395,96,277,0.347,157,363,0.433,0.47,99,162,0.611,51,226,277,91,64,15,83,72,701,0
106,26,22,30,"NBA","SF",58,44,1701,343,754,0.455,77,214,0.36,266,540,0.493,0.506,127,199,0.638,98,199,297,119,72,23,85,98,890,0
106,27,22,29,"NBA","SG",63,61,2163,288,725,0.397,143,405,0.353,145,320,0.453,0.496,38,94,0.404,66,238,304,182,120,32,86,160,757,0
106,28,22,28,"NBA","SG",77,77,2717,400,904,0.442,168,430,0.391,232,474,0.489,0.535,166,240,0.692,92,323,415,279,121,46,141,135,1134,0
106,29,22,27,"NBA","SG",76,76,2588,439,923,0.476,179,431,0.415,260,492,0.528,0.573,143,203,0.704,85,250,335,314,125,22,141,124,1200,0
106,30,22,26,"NBA","SG",81,81,2811,504,1054,0.478,101,314,0.322,403,740,0.545,0.526,168,250,0.672,113,363,476,294,134,33,165,148,1277,0
106,31,22,25,"NBA","SG",79,76,2920,594,1324,0.449,88,249,0.353,506,1075,0.471,0.482,298,402,0.741,122,355,477,265,128,56,164,200,1574,0
106,32,22,24,"NBA","SG",60,59,2203,482,1042,0.463,30,85,0.353,452,957,0.472,0.477,202,303,0.667,98,286,384,163,97,33,126,132,1196,1
106,33,22,23,"NBA","SG",70,42,1971,400,857,0.467,17,58,0.293,383,799,0.479,0.477,173,259,0.668,92,294,386,106,74,44,113,145,990,0
106,34,22,22,"NBA","SG",81,9,1785,372,753,0.494,1,17,0.059,371,736,0.504,0.495,186,264,0.705,107,209,316,124,69,34,138,140,931,0
107,34,4,29,"NBA","PF",54,2,604,88,211,0.417,37,100,0.37,51,111,0.459,0.505,18,23,0.783,33,94,127,55,20,9,26,64,231,NULL
107,35,25,28,"NBA","PF",72,3,1082,145,348,0.417,49,141,0.348,96,207,0.464,0.487,32,38,0.842,62,169,231,98,44,12,54,100,371,NULL
107,36,11,27,"NBA","PF",12,0,53,11,26,0.423,6,15,0.4,5,11,0.455,0.538,4,5,0.8,9,8,17,4,1,0,1,4,32,NULL
107,36,25,27,"NBA","PF",62,3,1297,160,413,0.387,42,135,0.311,118,278,0.424,0.438,54,72,0.75,82,204,286,108,50,16,60,133,416,NULL
107,36,31,27,"NBA","PF",74,3,1350,171,439,0.39,48,150,0.32,123,289,0.426,0.444,58,77,0.753,91,212,303,112,51,16,61,137,448,NULL
107,37,11,26,"NBA","PF",51,0,312,59,139,0.424,4,16,0.25,55,123,0.447,0.439,22,29,0.759,24,55,79,33,7,3,19,37,144,NULL
107,40,8,23,"NBA","PF",78,17,1380,272,638,0.426,3,19,0.158,269,619,0.435,0.429,116,150,0.773,136,270,406,193,46,28,109,183,663,NULL
107,41,63,22,"NBA","C",78,5,1274,174,431,0.404,7,19,0.368,167,412,0.405,0.412,48,69,0.696,111,161,272,120,57,26,93,170,403,NULL
108,30,31,35,"NBA","SF",21,2,356,35,86,0.407,7,26,0.269,28,60,0.467,0.448,19,23,0.826,16,37,53,17,8,3,10,16,96,NULL
108,30,40,35,"NBA","SF",10,0,180,20,43,0.465,3,14,0.214,17,29,0.586,0.5,9,11,0.818,8,19,27,11,3,1,9,7,52,NULL
108,30,44,35,"NBA","SF",11,2,176,15,43,0.349,4,12,0.333,11,31,0.355,0.395,10,12,0.833,8,18,26,6,5,2,1,9,44,NULL
108,31,23,34,"NBA","SF",69,0,1263,225,544,0.414,39,120,0.325,186,424,0.439,0.449,72,89,0.809,62,122,184,93,31,5,63,75,561,NULL
108,32,23,33,"NBA","SF",82,11,2432,469,1008,0.465,42,127,0.331,427,881,0.485,0.486,143,163,0.877,96,182,278,135,86,11,109,128,1123,NULL
108,33,23,32,"NBA","SF",82,13,2340,512,1055,0.485,9,43,0.209,503,1012,0.497,0.49,165,198,0.833,103,264,367,115,65,13,100,163,1198,NULL
