"idplayer","idseason","idteam","age","league","position","games","gamesstarter","minutesplayed","fieldgoals","fgattempts","fgperc","3PTSFG","3PFGAttempts","3PFGPerc","2PtsFG","2PFGAttempts","2PFGPerc","effectivegoalperc","freethrows","freethrowsattempts","ftperc","offrbds","defrbds","totalrbds","assists","steals","blocks","turnovers","fouls","points","tripledouble"
108,34,23,31,"NBA","SF",78,3,2089,379,841,0.451,3,21,0.143,376,820,0.459,0.452,165,197,0.838,81,214,295,143,72,13,78,143,926,NULL
108,35,23,30,"NBA","SF",82,12,2618,566,1152,0.491,2,11,0.182,564,1141,0.494,0.492,196,229,0.856,167,239,406,139,71,23,126,166,1330,NULL
108,36,12,29,"NBA","SF",74,1,1097,217,436,0.498,0,2,0,217,434,0.5,0.498,108,141,0.766,89,127,216,78,41,6,73,98,542,NULL
108,37,12,28,"NBA","SF",63,0,721,139,294,0.473,0,5,0,139,289,0.481,0.473,85,108,0.787,73,78,151,54,31,3,55,65,363,NULL
108,38,6,27,"NBA","SF",17,3,207,37,74,0.5,0,1,0,37,73,0.507,0.5,12,16,0.75,5,21,26,8,1,0,6,20,86,NULL
108,38,12,27,"NBA","SF",60,27,1469,273,554,0.493,2,8,0.25,271,546,0.496,0.495,73,111,0.658,125,123,248,136,55,6,76,105,621,NULL
108,38,31,27,"NBA","SF",77,30,1676,310,628,0.494,2,9,0.222,308,619,0.498,0.495,85,127,0.669,130,144,274,144,56,6,82,125,707,NULL
108,39,6,26,"NBA","SF",36,7,520,84,195,0.431,1,2,0.5,83,193,0.43,0.433,41,50,0.82,39,49,88,34,9,7,34,40,210,NULL
109,4,11,31,"NBA","C",2,0,14,2,7,0.286,1,5,0.2,1,2,0.5,0.357,0,0,NULL,0,7,7,2,1,0,1,1,5,NULL
109,5,16,30,"NBA","PF",10,0,44,2,9,0.222,2,6,0.333,0,3,0,0.333,1,2,0.5,4,5,9,2,1,0,2,2,7,NULL
109,5,24,30,"NBA","PF",15,8,278,19,60,0.317,7,34,0.206,12,26,0.462,0.375,11,14,0.786,14,31,45,17,3,1,12,23,56,NULL
109,5,31,30,"NBA","PF",25,8,322,21,69,0.304,9,40,0.225,12,29,0.414,0.37,12,16,0.75,18,36,54,19,4,1,14,25,63,NULL
109,6,11,29,"NBA","PF",66,50,1725,207,480,0.431,131,339,0.386,76,141,0.539,0.568,72,93,0.774,94,237,331,60,24,21,42,126,617,NULL
109,7,11,28,"NBA","PF",72,72,2116,323,773,0.418,204,506,0.403,119,267,0.446,0.55,129,150,0.86,112,218,330,68,31,14,55,142,979,NULL
109,8,19,27,"NBA","PF",66,7,2008,397,929,0.427,131,358,0.366,266,571,0.466,0.498,199,228,0.873,131,265,396,73,38,25,90,109,1124,NULL
109,9,19,26,"NBA","PF",61,5,1675,291,729,0.399,122,359,0.34,169,370,0.457,0.483,129,151,0.854,108,187,295,55,33,20,62,113,833,NULL
109,10,19,25,"NBA","PF",22,14,795,155,354,0.438,67,164,0.409,88,190,0.463,0.532,59,62,0.952,66,76,142,17,10,7,20,47,436,NULL
109,11,50,24,"NBA","PF",81,22,2503,472,1115,0.423,213,557,0.382,259,558,0.464,0.519,152,180,0.844,191,328,519,97,42,31,97,179,1309,NULL
109,12,22,23,"NBA","PF",61,61,1964,332,757,0.439,166,422,0.393,166,335,0.496,0.548,150,171,0.877,224,247,471,54,50,26,57,146,980,NULL
109,13,22,22,"NBA","PF",64,14,1424,226,525,0.43,134,341,0.393,92,184,0.5,0.558,95,117,0.812,129,226,355,52,30,38,49,137,681,NULL
109,14,22,21,"NBA","PF",63,6,911,169,388,0.436,78,211,0.37,91,177,0.514,0.536,71,82,0.866,70,132,202,37,25,14,56,81,487,NULL
109,15,44,20,"NBA","PF",66,30,1312,160,407,0.393,69,189,0.365,91,218,0.417,0.478,98,116,0.845,104,207,311,52,44,20,63,157,487,NULL
110,18,16,32,"NBA","SF",48,1,638,54,126,0.429,5,19,0.263,49,107,0.458,0.448,13,18,0.722,18,63,81,30,17,6,24,75,126,NULL
110,19,16,31,"NBA","SF",65,5,1151,98,215,0.456,5,28,0.179,93,187,0.497,0.467,54,66,0.818,40,150,190,70,40,14,49,136,255,NULL
110,19,20,31,"NBA","SG",1,0,20,0,2,0,0,1,0,0,1,0,0,0,0,NULL,1,0,1,0,0,0,1,2,0,NULL
110,19,31,31,"NBA","SF,SG",66,5,1171,98,217,0.452,5,29,0.172,93,188,0.495,0.463,54,66,0.818,41,150,191,70,40,14,50,138,255,NULL
110,20,20,30,"NBA","SG",80,37,1974,238,564,0.422,36,128,0.281,202,436,0.463,0.454,123,161,0.764,53,169,222,122,68,17,118,182,635,NULL
110,21,20,29,"NBA","SF",82,9,1731,248,537,0.462,52,140,0.371,196,397,0.494,0.51,139,190,0.732,64,190,254,87,73,20,114,177,687,NULL
110,22,20,28,"NBA","SG",82,6,1596,149,373,0.399,39,141,0.277,110,232,0.474,0.452,74,107,0.692,57,192,249,76,48,15,97,134,411,NULL
110,23,11,27,"NBA","SG",82,82,2396,263,590,0.446,46,170,0.271,217,420,0.517,0.485,138,188,0.734,72,261,333,189,82,40,131,202,710,NULL
110,24,11,26,"NBA","SF",82,82,2700,368,778,0.473,79,225,0.351,289,553,0.523,0.524,194,253,0.767,91,293,384,239,96,32,194,182,1009,NULL
110,25,29,25,"NBA","SG",50,2,1072,162,363,0.446,14,41,0.341,148,322,0.46,0.466,89,125,0.712,49,83,132,56,39,10,66,89,427,NULL
110,26,29,24,"NBA","SG",82,2,1602,269,500,0.538,7,32,0.219,262,468,0.56,0.545,136,185,0.735,86,141,227,89,66,18,91,145,681,NULL
110,27,29,23,"NBA","SG",65,0,1066,147,318,0.462,24,47,0.511,123,271,0.454,0.5,68,99,0.687,52,127,179,49,27,8,73,113,386,NULL
111,27,16,30,"NBA","SG",28,1,303,29,64,0.453,8,19,0.421,21,45,0.467,0.516,17,20,0.85,15,27,42,34,14,4,19,36,83,0
111,28,20,29,"NBA","SG",27,2,496,56,133,0.421,5,25,0.2,51,108,0.472,0.44,19,31,0.613,13,47,60,48,17,8,24,59,136,0
111,28,28,29,"NBA","SG",49,42,1564,232,527,0.44,29,95,0.305,203,432,0.47,0.468,113,132,0.856,35,151,186,149,58,51,119,171,606,0
111,28,31,29,"NBA","SG",76,44,2060,288,660,0.436,34,120,0.283,254,540,0.47,0.462,132,163,0.81,48,198,246,197,75,59,143,230,742,0
111,29,27,28,"NBA","SG",38,11,556,76,162,0.469,3,19,0.158,73,143,0.51,0.478,30,41,0.732,15,40,55,52,26,10,38,71,185,0
111,30,27,27,"NBA","SG",80,79,2488,394,837,0.471,22,68,0.324,372,769,0.484,0.484,145,171,0.848,68,174,242,347,71,46,153,187,955,0
111,31,27,26,"NBA","SG",38,7,560,80,186,0.43,1,8,0.125,79,178,0.444,0.433,22,28,0.786,7,50,57,79,14,6,44,52,183,0
111,32,27,25,"NBA","SG",57,55,1889,312,685,0.455,13,56,0.232,299,629,0.475,0.465,107,138,0.775,62,238,300,302,54,51,140,151,744,1
111,33,27,24,"NBA","SG",75,75,2592,453,991,0.457,7,35,0.2,446,956,0.467,0.461,170,213,0.798,68,283,351,358,79,46,167,226,1083,0
111,34,27,23,"NBA","SG",82,81,2788,532,1082,0.492,7,26,0.269,525,1056,0.497,0.495,217,290,0.748,115,257,372,364,111,58,198,252,1288,0
111,35,27,22,"NBA","SF",81,79,2738,640,1285,0.498,4,21,0.19,636,1264,0.503,0.5,224,289,0.775,152,265,417,372,150,62,261,295,1508,0
112,60,32,24,"NBA","SF",44,NULL,370,65,166,0.392,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29,46,0.63,NULL,NULL,82,9,NULL,NULL,NULL,47,159,NULL
113,18,6,19,"NBA","C",6,0,9,0,1,0,0,0,NULL,0,1,0,0,0,0,NULL,1,3,4,0,2,0,0,1,0,NULL
114,78,20,24,"NBA","none",1,NULL,10,0,4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,4,0.75,NULL,NULL,2,0,NULL,NULL,NULL,0,3,NULL
115,5,12,20,"NBA","C",3,0,6,0,3,0,0,0,NULL,0,3,0,0,0,0,NULL,1,2,3,1,0,1,1,0,0,NULL
115,6,12,19,"NBA","C",11,0,30,4,9,0.444,0,0,NULL,4,9,0.444,0.444,5,6,0.833,5,4,9,0,1,3,2,1,13,NULL
116,32,4,24,"NBA","SF",2,0,13,3,7,0.429,0,0,NULL,3,7,0.429,0.429,0,0,NULL,0,2,2,0,0,0,0,1,6,NULL
116,32,23,24,"NBA","SF",8,0,32,5,11,0.455,0,0,NULL,5,11,0.455,0.455,5,6,0.833,2,2,4,2,0,0,3,6,15,NULL
116,32,31,24,"NBA","SF",10,0,45,8,18,0.444,0,0,NULL,8,18,0.444,0.444,5,6,0.833,2,4,6,2,0,0,3,7,21,NULL
116,33,22,23,"NBA","SF",67,1,877,144,263,0.548,0,0,NULL,144,263,0.548,0.548,91,127,0.717,122,131,253,25,27,7,32,125,379,NULL
116,34,22,22,"NBA","SF",72,5,1221,231,465,0.497,0,0,NULL,231,465,0.497,0.497,164,227,0.722,187,175,362,40,24,17,50,152,626,NULL
117,24,5,25,"NBA","C",73,11,1007,161,364,0.442,1,6,0.167,160,358,0.447,0.444,116,147,0.789,90,190,280,65,29,25,80,180,439,NULL
117,25,7,24,"NBA","C",41,4,470,50,139,0.36,0,7,0,50,132,0.379,0.36,34,48,0.708,35,62,97,27,18,13,26,98,134,NULL
117,26,7,23,"NBA","C",41,8,680,92,231,0.398,3,16,0.188,89,215,0.414,0.405,53,74,0.716,53,104,157,35,31,27,41,95,240,NULL
118,1,17,28,"NBA","PF",21,21,694,245,449,0.546,18,66,0.273,227,383,0.593,0.566,161,254,0.634,44,187,231,114,18,20,80,75,669,1
118,2,17,27,"NBA","PF",67,67,2204,689,1245,0.553,71,242,0.293,618,1003,0.616,0.582,553,766,0.722,134,644,778,388,72,91,219,212,2002,4
118,3,17,26,"NBA","PF",61,61,2013,626,1100,0.569,67,221,0.303,559,879,0.636,0.6,398,581,0.685,97,574,671,357,72,73,207,168,1717,7
118,4,17,25,"NBA","PF",63,63,1917,685,1238,0.553,89,293,0.304,596,945,0.631,0.589,398,629,0.633,140,716,856,354,61,66,230,195,1857,4
118,5,17,24,"NBA","PF",72,72,2358,721,1247,0.578,52,203,0.256,669,1044,0.641,0.599,500,686,0.729,159,739,898,424,92,110,268,232,1994,5
118,6,17,23,"NBA","PF",75,75,2756,742,1402,0.529,43,140,0.307,699,1262,0.554,0.545,487,641,0.76,156,597,753,361,109,106,223,231,2014,1
118,7,17,22,"NBA","SF",80,80,2845,656,1259,0.521,49,180,0.272,607,1079,0.563,0.541,471,612,0.77,142,558,700,434,131,151,234,246,1832,3
118,8,17,21,"NBA","PG",80,79,2823,513,1013,0.506,28,109,0.257,485,904,0.537,0.52,296,409,0.724,113,499,612,345,94,113,208,258,1350,5
118,9,17,20,"NBA","SG",81,71,2541,383,780,0.491,7,44,0.159,376,736,0.511,0.496,257,347,0.741,100,442,542,207,73,85,173,254,1030,0
118,10,17,19,"NBA","SF",77,23,1897,173,418,0.414,41,118,0.347,132,300,0.44,0.463,138,202,0.683,78,261,339,150,60,61,122,173,525,0
119,3,14,23,"NBA","PF",15,0,56,3,10,0.3,0,0,NULL,3,10,0.3,0.3,6,13,0.462,4,15,19,1,2,4,11,8,12,NULL
119,4,14,22,"NBA","PF",5,0,20,3,3,1,0,0,NULL,3,3,1,1,1,2,0.5,2,1,3,2,0,0,1,2,7,NULL
119,5,7,21,"NBA","PF",2,0,11,0,3,0,0,0,NULL,0,3,0,0,2,4,0.5,0,1,1,0,2,0,1,0,2,NULL
120,1,17,30,"NBA","SF",12,0,44,1,4,0.25,0,1,0,1,3,0.333,0.25,0,0,NULL,2,9,11,2,0,2,4,3,2,NULL
120,2,17,29,"NBA","SF",48,6,473,70,128,0.547,2,14,0.143,68,114,0.596,0.555,29,46,0.63,40,61,101,22,16,12,26,68,171,NULL
120,3,17,28,"NBA","SF",57,3,551,67,137,0.489,7,29,0.241,60,108,0.556,0.515,25,49,0.51,54,70,124,46,22,10,43,74,166,NULL
120,4,17,27,"NBA","SF",20,2,129,24,48,0.5,0,10,0,24,38,0.632,0.5,7,17,0.412,12,12,24,15,7,2,12,18,55,NULL
120,8,20,23,"NBA","SF",2,0,6,3,4,0.75,0,1,0,3,3,1,0.75,0,0,NULL,0,1,1,0,0,0,0,2,6,NULL
121,2,14,37,"NBA","PF",69,3,1793,319,723,0.441,149,397,0.375,170,326,0.521,0.544,132,159,0.83,62,226,288,68,47,52,59,166,919,0
121,3,25,36,"NBA","PF",69,3,1690,327,777,0.421,133,325,0.409,194,452,0.429,0.506,137,154,0.89,32,182,214,104,46,38,61,144,924,0
121,4,25,35,"NBA","PF",58,58,1902,336,782,0.43,87,226,0.385,249,556,0.448,0.485,136,161,0.845,71,297,368,85,49,27,100,171,895,0
121,5,11,34,"NBA","PF",10,2,294,49,121,0.405,21,64,0.328,28,57,0.491,0.492,15,22,0.682,9,45,54,5,4,7,8,32,134,0
121,6,21,33,"NBA","PF",78,78,2501,472,1168,0.404,169,474,0.357,303,694,0.437,0.476,148,193,0.767,67,386,453,103,47,49,99,197,1261,0
121,7,20,32,"NBA","SF",74,74,2538,602,1389,0.433,151,421,0.359,451,968,0.466,0.488,304,365,0.833,62,376,438,213,60,34,153,198,1659,0
121,8,20,31,"NBA","SF",72,72,2530,567,1307,0.434,105,310,0.339,462,997,0.463,0.474,334,403,0.829,98,458,556,299,62,38,176,180,1573,0
121,9,20,30,"NBA","SF",40,40,1428,358,806,0.444,61,179,0.341,297,627,0.474,0.482,189,237,0.797,72,192,264,122,40,17,89,87,966,0
121,10,20,29,"NBA","PF",77,77,2982,743,1643,0.452,167,415,0.402,576,1228,0.469,0.503,459,541,0.848,145,477,622,242,95,51,198,224,2112,0
121,11,20,28,"NBA","PF",67,67,2482,669,1489,0.449,157,414,0.379,512,1075,0.476,0.502,425,512,0.83,134,326,460,171,52,32,175,205,1920,0
121,12,20,27,"NBA","SF",55,55,1876,441,1025,0.43,68,203,0.335,373,822,0.454,0.463,295,367,0.804,88,256,344,200,62,24,144,156,1245,1
121,13,8,26,"NBA","SF",50,50,1774,437,967,0.452,42,126,0.333,395,841,0.47,0.474,343,417,0.823,77,305,382,140,43,31,142,134,1259,0
121,13,20,26,"NBA","SF",27,27,977,247,536,0.461,53,125,0.424,194,411,0.472,0.51,164,188,0.872,41,140,181,81,25,15,64,90,711,0
121,13,31,26,"NBA","SF",77,77,2751,684,1503,0.455,95,251,0.378,589,1252,0.47,0.487,507,605,0.838,118,445,563,221,68,46,206,224,1970,0
121,14,8,25,"NBA","SF",69,69,2634,688,1502,0.458,59,187,0.316,629,1315,0.478,0.478,508,612,0.83,152,302,454,222,88,30,209,225,1943,0
121,15,8,24,"NBA","SF",66,66,2277,535,1207,0.443,63,170,0.371,472,1037,0.455,0.469,371,468,0.793,106,344,450,222,75,24,199,195,1504,0
121,16,8,23,"NBA","SF",77,77,2806,728,1481,0.492,58,164,0.354,670,1317,0.509,0.511,464,590,0.786,178,393,571,259,98,39,253,253,1978,0
121,17,8,22,"NBA","SF",65,65,2486,691,1453,0.476,40,149,0.268,651,1304,0.499,0.489,459,568,0.808,143,248,391,249,77,23,234,203,1881,1
121,18,8,21,"NBA","SF",80,80,2941,756,1572,0.481,37,152,0.243,719,1420,0.506,0.493,573,709,0.808,122,272,394,216,88,42,218,229,2122,0
121,19,8,20,"NBA","SF",75,75,2608,530,1230,0.431,42,158,0.266,488,1072,0.455,0.448,456,573,0.796,141,285,426,194,68,30,224,229,1558,0
121,20,8,19,"NBA","SF",82,82,2995,624,1465,0.426,69,214,0.322,555,1251,0.444,0.449,408,525,0.777,183,315,498,227,97,41,247,225,1725,0
122,1,22,22,"NBA","PG",10,3,270,48,113,0.425,16,42,0.381,32,71,0.451,0.496,23,28,0.821,5,38,43,37,11,4,15,33,135,NULL
122,2,22,21,"NBA","PG",65,65,2059,357,912,0.391,132,391,0.338,225,521,0.432,0.464,216,253,0.854,32,316,348,369,46,17,170,171,1062,NULL
122,3,22,20,"NBA","PG",47,34,1273,219,552,0.397,58,172,0.337,161,380,0.424,0.449,109,131,0.832,38,183,221,192,30,18,106,98,605,NULL
123,22,5,34,"NBA","PG",36,35,961,113,287,0.394,29,90,0.322,84,197,0.426,0.444,47,70,0.671,16,72,88,203,49,4,58,72,302,NULL
123,22,17,34,"NBA","PG",24,3,553,70,188,0.372,19,73,0.26,51,115,0.443,0.423,13,21,0.619,6,38,44,79,28,1,36,42,172,NULL
123,22,31,34,"NBA","PG",60,38,1514,183,475,0.385,48,163,0.294,135,312,0.433,0.436,60,91,0.659,22,110,132,282,77,5,94,114,474,NULL
123,23,25,33,"NBA","PG",58,0,856,97,253,0.383,65,159,0.409,32,94,0.34,0.512,23,35,0.657,21,40,61,82,40,3,43,63,282,NULL
123,24,25,32,"NBA","PG",82,3,1548,169,416,0.406,88,233,0.378,81,183,0.443,0.512,88,114,0.772,17,116,133,208,59,9,85,143,514,NULL
123,25,25,31,"NBA","PG",50,0,806,104,251,0.414,49,125,0.392,55,126,0.437,0.512,62,89,0.697,14,49,63,100,66,3,55,75,319,NULL
123,26,33,30,"NBA","PG",80,0,1021,150,349,0.43,66,159,0.415,84,190,0.442,0.524,53,80,0.663,18,93,111,205,64,3,91,97,419,NULL
123,27,35,29,"NBA","PG",65,44,1863,199,507,0.393,88,238,0.37,111,269,0.413,0.479,130,178,0.73,25,159,184,407,129,4,129,122,616,NULL
123,28,35,28,"NBA","PG",69,68,2096,324,781,0.415,90,271,0.332,234,510,0.459,0.472,229,297,0.771,29,145,174,476,116,11,160,137,967,NULL
123,29,20,27,"NBA","PG",61,2,943,128,293,0.437,56,155,0.361,72,138,0.522,0.532,60,76,0.789,7,57,64,160,50,7,57,99,372,NULL
123,30,20,26,"NBA","PG",80,36,1994,225,571,0.394,48,160,0.3,177,411,0.431,0.436,130,168,0.774,43,146,189,365,114,13,127,163,628,NULL
123,31,20,25,"NBA","PG",70,35,1699,174,419,0.415,4,30,0.133,170,389,0.437,0.42,107,159,0.673,42,128,170,398,113,12,104,141,459,NULL
123,32,20,24,"NBA","PG",82,1,1510,161,435,0.37,8,55,0.145,153,380,0.403,0.379,117,158,0.741,33,103,136,314,59,9,98,170,447,NULL
124,7,27,34,"NBA","C",19,0,122,10,16,0.625,0,0,NULL,10,16,0.625,0.625,5,8,0.625,8,23,31,3,2,6,4,11,25,NULL
124,8,9,33,"NBA","C",19,0,96,6,10,0.6,0,0,NULL,6,10,0.6,0.6,6,8,0.75,8,13,21,1,2,12,2,15,18,NULL
124,9,9,32,"NBA","C",49,0,406,36,62,0.581,0,0,NULL,36,62,0.581,0.581,15,22,0.682,32,61,93,5,12,49,12,55,87,NULL
124,10,2,31,"NBA","C",21,0,149,10,26,0.385,0,0,NULL,10,26,0.385,0.385,2,6,0.333,13,18,31,2,3,8,2,13,22,NULL
124,10,16,31,"NBA","C",12,0,37,2,6,0.333,0,0,NULL,2,6,0.333,0.333,2,2,1,2,5,7,0,0,4,1,4,6,NULL
124,10,31,31,"NBA","C",33,0,186,12,32,0.375,0,0,NULL,12,32,0.375,0.375,4,8,0.5,15,23,38,2,3,12,3,17,28,NULL
124,11,16,30,"NBA","C",62,3,566,35,68,0.515,0,0,NULL,35,68,0.515,0.515,17,28,0.607,45,70,115,13,13,42,22,49,87,NULL
124,12,16,29,"NBA","C",64,51,1349,85,152,0.559,0,0,NULL,85,152,0.559,0.559,49,71,0.69,100,150,250,9,36,84,45,126,219,NULL
124,13,16,28,"NBA","C",75,11,1463,53,99,0.535,0,0,NULL,53,99,0.535,0.535,47,73,0.644,104,162,266,24,10,93,36,194,153,NULL
124,14,16,27,"NBA","C",80,16,1322,76,159,0.478,0,0,NULL,76,159,0.478,0.478,66,92,0.717,123,126,249,12,20,109,45,158,218,NULL
124,15,16,26,"NBA","C",65,28,1048,57,118,0.483,0,0,NULL,57,118,0.483,0.483,30,46,0.652,89,108,197,27,20,93,41,139,144,NULL
124,16,16,25,"NBA","PF",24,1,498,28,60,0.467,0,0,NULL,28,60,0.467,0.467,29,49,0.592,38,55,93,3,9,31,17,55,85,NULL
125,9,1,32,"NBA","C",63,3,1037,108,296,0.365,52,173,0.301,56,123,0.455,0.453,88,123,0.715,58,131,189,49,18,14,49,132,356,NULL
125,10,1,31,"NBA","C",50,26,925,123,294,0.418,56,171,0.327,67,123,0.545,0.514,50,66,0.758,57,152,209,58,19,12,55,126,352,NULL
126,1,28,25,"NBA","SF",26,26,953,184,387,0.475,40,121,0.331,144,266,0.541,0.527,85,102,0.833,36,116,152,55,62,22,65,77,493,NULL
126,2,28,24,"NBA","SF",48,48,1728,309,697,0.443,115,317,0.363,194,380,0.511,0.526,89,118,0.754,74,190,264,125,71,25,80,131,822,NULL
126,3,28,23,"NBA","SF",43,43,1433,249,519,0.48,104,261,0.398,145,258,0.562,0.58,80,102,0.784,54,183,237,94,66,32,75,114,682,NULL
126,4,28,22,"NBA","SF",69,68,2066,286,566,0.505,89,228,0.39,197,338,0.583,0.584,72,102,0.706,80,284,364,108,96,45,79,167,733,NULL
126,5,28,21,"NBA","SF",67,6,1352,183,404,0.453,67,202,0.332,116,202,0.574,0.536,36,62,0.581,58,139,197,47,46,22,55,140,469,NULL
126,6,28,20,"NBA","SF",74,62,1481,163,346,0.471,73,197,0.371,90,149,0.604,0.577,39,62,0.629,44,140,184,55,52,14,45,130,438,NULL
127,8,22,23,"NBA","PG",5,0,27,2,8,0.25,0,3,0,2,5,0.4,0.25,2,2,1,0,1,1,1,1,0,3,5,6,NULL
128,17,29,26,"NBA","C",28,0,248,27,65,0.415,0,0,NULL,27,65,0.415,0.415,18,29,0.621,22,44,66,10,6,2,17,39,72,NULL
128,18,28,25,"NBA","C",52,34,601,53,145,0.366,0,1,0,53,144,0.368,0.366,15,28,0.536,43,101,144,15,24,6,42,104,121,NULL
128,19,28,24,"NBA","C",59,41,736,76,175,0.434,1,3,0.333,75,172,0.436,0.437,43,55,0.782,59,126,185,16,21,8,52,157,196,NULL
129,71,64,25,"NBA","none",7,NULL,110,22,56,0.393,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,13,0.462,NULL,NULL,32,4,NULL,NULL,NULL,10,50,NULL
130,20,22,23,"NBA","PF",1,0,4,1,2,0.5,0,0,NULL,1,2,0.5,0.5,0,2,0,0,1,1,0,1,0,0,0,2,NULL
130,20,24,23,"NBA","PF",1,0,6,0,1,0,0,0,NULL,0,1,0,0,1,2,0.5,0,1,1,1,0,0,1,1,1,NULL
130,20,28,23,"NBA","C",30,3,246,8,30,0.267,0,0,NULL,8,30,0.267,0.267,13,27,0.481,21,29,50,12,13,3,9,49,29,NULL
130,20,31,23,"NBA","C,PF",32,3,256,9,33,0.273,0,0,NULL,9,33,0.273,0.273,14,31,0.452,21,31,52,13,14,3,10,50,32,NULL
130,21,15,22,"NBA","PF",12,0,72,6,20,0.3,0,0,NULL,6,20,0.3,0.3,7,18,0.389,6,11,17,3,0,3,7,9,19,NULL
131,40,17,35,"NBA","PG",46,46,1038,136,279,0.487,4,18,0.222,132,261,0.506,0.495,64,101,0.634,16,60,76,160,33,0,78,78,340,NULL
131,41,2,34,"NBA","PG",66,19,1811,235,553,0.425,5,24,0.208,230,529,0.435,0.429,220,296,0.743,25,66,91,409,38,4,163,110,695,NULL
131,42,2,33,"NBA","PG",68,51,2167,308,652,0.472,6,16,0.375,302,636,0.475,0.477,236,316,0.747,25,91,116,541,52,3,178,131,858,NULL
131,43,2,32,"NBA","PG",80,72,2820,382,766,0.499,0,9,0,382,757,0.505,0.499,342,419,0.816,36,140,176,618,75,18,265,201,1106,NULL
131,44,2,31,"NBA","PG",80,80,2864,383,794,0.482,4,18,0.222,379,776,0.488,0.485,361,435,0.83,59,138,197,671,106,10,242,218,1131,NULL
131,45,2,30,"NBA","PG",69,NULL,1662,259,573,0.452,NULL,NULL,NULL,259,573,0.452,0.452,242,307,0.788,25,78,103,324,55,6,197,132,760,NULL
131,47,65,28,"NBA","PG",34,NULL,1277,250,560,0.446,NULL,NULL,NULL,250,560,0.446,0.446,197,251,0.785,22,58,80,254,59,11,NULL,77,697,NULL
131,48,53,27,"NBA","PG",78,NULL,3184,717,1583,0.453,NULL,NULL,NULL,717,1583,0.453,0.453,501,625,0.802,67,146,213,615,126,15,NULL,169,1935,NULL
131,50,46,26,"NBA","PG",82,NULL,3244,759,1664,0.456,NULL,NULL,NULL,759,1664,0.456,0.456,652,748,0.872,48,174,222,557,119,7,NULL,187,2170,NULL
131,52,46,25,"NBA","PG",35,NULL,1272,222,492,0.451,NULL,NULL,NULL,222,492,0.451,0.451,173,211,0.82,21,64,85,266,56,7,NULL,76,617,NULL
131,54,46,24,"NBA","PG",80,NULL,3681,1028,2106,0.488,NULL,NULL,NULL,1028,2106,0.488,0.488,663,783,0.847,NULL,NULL,223,910,NULL,NULL,NULL,207,2719,NULL
131,56,32,23,"NBA","PG",76,NULL,3272,734,1511,0.486,NULL,NULL,NULL,734,1511,0.486,0.486,677,824,0.822,NULL,NULL,222,701,NULL,NULL,NULL,198,2145,NULL
131,58,32,22,"NBA","PG",82,NULL,2867,486,1095,0.444,NULL,NULL,NULL,486,1095,0.444,0.444,336,444,0.757,NULL,NULL,242,450,NULL,NULL,NULL,218,1308,NULL
132,1,20,28,"NBA","PG",6,0,16,0,3,0,0,2,0,0,1,0,0,0,0,NULL,0,2,2,2,2,0,1,2,0,NULL
132,2,20,27,"NBA","PG",10,0,76,6,12,0.5,4,9,0.444,2,3,0.667,0.667,0,0,NULL,0,8,8,4,1,0,3,5,16,NULL
132,3,5,26,"NBA","PG",44,0,450,49,117,0.419,25,67,0.373,24,50,0.48,0.526,13,20,0.65,5,62,67,56,9,0,10,47,136,NULL
132,4,5,25,"NBA","PG",58,4,930,90,220,0.409,54,138,0.391,36,82,0.439,0.532,27,38,0.711,20,90,110,96,27,3,37,96,261,NULL
132,5,5,24,"NBA","PG",81,32,1961,187,418,0.447,81,217,0.373,106,201,0.527,0.544,89,102,0.873,27,192,219,269,65,4,63,171,544,NULL
132,6,5,23,"NBA","PG",24,0,304,17,41,0.415,9,31,0.29,8,10,0.8,0.524,5,6,0.833,1,24,25,35,13,0,13,18,48,NULL
133,46,2,29,"NBA","C",1,NULL,9,0,1,0,NULL,NULL,NULL,0,1,0,0,1,2,0.5,1,3,4,1,0,0,0,1,1,NULL
133,46,5,29,"NBA","C",14,NULL,116,8,16,0.5,NULL,NULL,NULL,8,16,0.5,0.5,2,3,0.667,8,24,32,7,0,0,14,18,18,NULL
133,46,31,29,"NBA","C",15,NULL,125,8,17,0.471,NULL,NULL,NULL,8,17,0.471,0.471,3,5,0.6,9,27,36,8,0,0,14,19,19,NULL
133,47,2,28,"NBA","C",63,NULL,969,96,254,0.378,NULL,NULL,NULL,96,254,0.378,0.378,49,76,0.645,77,219,296,53,18,28,NULL,128,241,NULL
133,48,2,27,"NBA","C",81,NULL,853,107,294,0.364,NULL,NULL,NULL,107,294,0.364,0.364,71,100,0.71,96,193,289,48,12,36,NULL,141,285,NULL
133,50,2,26,"NBA","C",59,NULL,719,89,266,0.335,NULL,NULL,NULL,89,266,0.335,0.335,48,65,0.738,59,140,199,40,13,32,NULL,96,226,NULL
133,52,66,25,"ABA","C",27,NULL,502,66,164,0.402,2,2,1,64,162,0.395,0.409,40,51,0.784,48,111,159,41,16,25,42,44,174,NULL
133,54,61,24,"ABA","C",42,NULL,426,53,140,0.379,0,4,0,53,136,0.39,0.379,34,50,0.68,48,100,148,14,NULL,NULL,29,50,140,NULL
